Date,Total Incidents & Hazards,6-month moving average,Total AI events,Year,Month_Num,Incident_Rate_Per_1k_Events
2020-01,86,86.0,2535,2020,1,33.92504930966469
2020-02,90,88.0,2228,2020,2,40.39497307001795
2020-03,57,77.66666666666667,2150,2020,3,26.51162790697674
2020-04,48,70.25,1933,2020,4,24.831867563372995
2020-05,61,68.4,2322,2020,5,26.270456503014643
2020-06,65,67.83333333333333,2904,2020,6,22.38292011019284
2020-07,78,66.5,2781,2020,7,28.047464940668824
2020-08,77,64.33333333333333,2584,2020,8,29.79876160990712
2020-09,100,71.5,3366,2020,9,29.708853238265
2020-10,73,75.66666666666667,2996,2020,10,24.36582109479306
2020-11,84,79.5,3471,2020,11,24.200518582541054
2020-12,81,82.16666666666667,3279,2020,12,24.702653247941445
2021-01,86,83.5,2937,2021,1,29.281579843377596
2021-02,69,82.16666666666667,2602,2021,2,26.518063028439663
2021-03,85,79.66666666666667,3270,2021,3,25.99388379204893
2021-04,87,82.0,2897,2021,4,30.031066620642044
2021-05,92,83.33333333333333,3032,2021,5,30.343007915567284
2021-06,86,84.16666666666667,3234,2021,6,26.592455163883734
2021-07,222,106.83333333333331,3030,2021,7,73.26732673267327
2021-08,139,118.5,3035,2021,8,45.799011532125206
2021-09,143,128.16666666666666,3453,2021,9,41.41326382855488
2021-10,143,137.5,3457,2021,10,41.365345675441134
2021-11,124,142.83333333333334,3637,2021,11,34.09403354412978
2021-12,120,148.5,2943,2021,12,40.774719673802245
2022-01,103,128.66666666666666,3003,2022,1,34.2990342990343
2022-02,79,118.66666666666669,2746,2022,2,28.76911871813547
2022-03,82,108.5,2807,2022,3,29.212682579266122
2022-04,72,96.66666666666669,2515,2022,4,28.628230616302186
2022-05,92,91.33333333333331,2939,2022,5,31.303164341612796
2022-06,93,86.83333333333333,2923,2022,6,31.816626753335616
2022-07,105,87.16666666666667,2851,2022,7,36.82918274289723
2022-08,115,93.16666666666669,2767,2022,8,41.56125767979761
2022-09,91,94.66666666666669,2937,2022,9,30.983997276132104
2022-10,106,100.33333333333331,3001,2022,10,35.32155948017328
2022-11,82,98.66666666666669,2870,2022,11,28.57142857142857
2022-12,87,97.66666666666669,2750,2022,12,31.636363636363637
2023-01,121,100.33333333333331,3761,2023,1,32.172294602499335
2023-02,118,100.83333333333331,4776,2023,2,24.706867671691793
2023-03,185,116.5,5462,2023,3,33.870377151226656
2023-04,151,124.0,5631,2023,4,26.815840880838216
2023-05,190,142.0,7070,2023,5,26.874115983026876
2023-06,167,155.33333333333334,6942,2023,6,24.056467876692594
2023-07,159,161.66666666666666,5717,2023,7,27.811789400034986
2023-08,175,171.16666666666666,4537,2023,8,38.57174344280361
2023-09,175,169.5,5025,2023,9,34.82587064676617
2023-10,198,177.33333333333334,6804,2023,10,29.100529100529098
2023-11,220,182.33333333333331,8348,2023,11,26.35361763296598
2023-12,164,181.83333333333331,6802,2023,12,24.110555718906205
2024-01,277,201.5,9620,2024,1,28.794178794178794
2024-02,241,212.5,9365,2024,2,25.73411639081687
2024-03,247,224.5,9826,2024,3,25.13739059637696
2024-04,242,231.83333333333331,10226,2024,4,23.6651672208097
2024-05,267,239.66666666666663,10602,2024,5,25.183927560837574
2024-06,225,249.83333333333331,10078,2024,6,22.32585830521929
2024-07,207,238.16666666666663,10021,2024,7,20.65662109569903
2024-08,197,230.83333333333331,9257,2024,8,21.281192610997085
2024-09,166,217.33333333333331,10637,2024,9,15.605903920278275
2024-10,249,218.5,11575,2024,10,21.511879049676025
2024-11,204,208.0,10486,2024,11,19.45451077627313
2024-12,188,201.83333333333331,9962,2024,12,18.87171250752861
2025-01,299,217.16666666666663,12166,2025,1,24.576689133651158
2025-02,361,244.5,12847,2025,2,28.09994551257103
2025-03,288,264.8333333333333,13849,2025,3,20.795725323128025
2025-04,316,276.0,12918,2025,4,24.46199102028178
2025-05,353,300.8333333333333,14068,2025,5,25.092408302530565
2025-06,321,323.0,13615,2025,6,23.576937201615866
2025-07,373,335.3333333333333,14738,2025,7,25.308725742977337
2025-08,388,339.8333333333333,14321,2025,8,27.093080092172336
2025-09,416,361.1666666666667,16211,2025,9,25.66158781074579
2025-10,510,393.5,17720,2025,10,28.78103837471783
2025-11,493,416.8333333333333,18372,2025,11,26.834313085129544
2025-12,453,438.8333333333333,15976,2025,12,28.355032548823235
2026-01,596,476.0,17390,2026,1,34.272570442783206
2026-02,551,503.1666666666667,16816,2026,2,32.76641294005709
2026-03,594,532.8333333333334,20059,2026,3,29.612642704023134
2026-04,483,528.3333333333334,19773,2026,4,24.427249279320282
2026-05,588,544.1666666666666,23265,2026,5,25.274016763378466
2026-06,640,575.3333333333334,27159,2026,6,23.564932434920284
2026-07,578,572.3333333333334,25706,2026,7,22.485022951840037
