# Title: Evolution of incidents and hazards
# yLabel: Number of incidents and hazards
# Export: Raw counts with denominator column
# Footer: An AI incident or hazard can be reported by one or more news articles covering the same event. Data processing powered by Microsoft Azure using data from Event Registry.

Date,Total Incidents & Hazards,6-month moving average,Total AI events
2020-01,86,86,2535
2020-02,90,88,2228
2020-03,57,77.66666666666667,2150
2020-04,48,70.25,1933
2020-05,61,68.4,2322
2020-06,65,67.83333333333333,2904
2020-07,78,66.5,2781
2020-08,77,64.33333333333333,2584
2020-09,100,71.5,3366
2020-10,73,75.66666666666667,2996
2020-11,84,79.5,3471
2020-12,81,82.16666666666667,3279
2021-01,86,83.5,2937
2021-02,69,82.16666666666667,2602
2021-03,85,79.66666666666667,3270
2021-04,87,82,2897
2021-05,92,83.33333333333333,3032
2021-06,86,84.16666666666667,3234
2021-07,222,106.83333333333333,3030
2021-08,139,118.5,3035
2021-09,143,128.16666666666666,3453
2021-10,143,137.5,3457
2021-11,124,142.83333333333334,3637
2021-12,120,148.5,2943
2022-01,103,128.66666666666666,3003
2022-02,79,118.66666666666667,2746
2022-03,82,108.5,2807
2022-04,72,96.66666666666667,2515
2022-05,92,91.33333333333333,2939
2022-06,93,86.83333333333333,2923
2022-07,105,87.16666666666667,2851
2022-08,115,93.16666666666667,2767
2022-09,91,94.66666666666667,2937
2022-10,106,100.33333333333333,3001
2022-11,82,98.66666666666667,2870
2022-12,87,97.66666666666667,2750
2023-01,121,100.33333333333333,3761
2023-02,118,100.83333333333333,4776
2023-03,185,116.5,5462
2023-04,151,124,5631
2023-05,190,142,7070
2023-06,167,155.33333333333334,6942
2023-07,159,161.66666666666666,5717
2023-08,175,171.16666666666666,4537
2023-09,175,169.5,5025
2023-10,198,177.33333333333334,6804
2023-11,220,182.33333333333334,8348
2023-12,164,181.83333333333334,6802
2024-01,277,201.5,9620
2024-02,241,212.5,9365
2024-03,247,224.5,9826
2024-04,242,231.83333333333334,10226
2024-05,267,239.66666666666666,10602
2024-06,225,249.83333333333334,10078
2024-07,207,238.16666666666666,10021
2024-08,197,230.83333333333334,9257
2024-09,166,217.33333333333334,10637
2024-10,249,218.5,11575
2024-11,204,208,10486
2024-12,188,201.83333333333334,9962
2025-01,299,217.16666666666666,12166
2025-02,361,244.5,12847
2025-03,288,264.8333333333333,13849
2025-04,316,276,12918
2025-05,353,300.8333333333333,14068
2025-06,321,323,13615
2025-07,373,335.3333333333333,14738
2025-08,388,339.8333333333333,14321
2025-09,416,361.1666666666667,16211
2025-10,510,393.5,17720
2025-11,493,416.8333333333333,18372
2025-12,453,438.8333333333333,15976
2026-01,596,476,17390
2026-02,551,503.1666666666667,16816
2026-03,594,532.8333333333334,20059
2026-04,483,528.3333333333334,19773
2026-05,588,544.1666666666666,23265
2026-06,640,575.3333333333334,27159
2026-07,578,572.3333333333334,25706
